source,source_type,title,description,url,published,deadline,amount,sectors,relevance_score,discovered,is_new
ReliefWeb - Tanzania Updates,aggregator,"DRC Health, Safety and Security (HSS) Associate (Fixed-Term)","<div class=""tag country"">Countries: Congo, Democratic Republic of the Congo</div>
                                      <div class=""tag source"">Organization: One Acre Fund</div>
                                                                                        <div class=""date closing"">Closing date: 25 Mar 2026</div>
                                        <h2><strong>About One Acre Fund</strong></h2>
<p>Founded in 2006, One Acre Fund equips 5.5 million smallholder farmers to make their far",https://reliefweb.int/job/4195944/drc-health-safety-and-security-hss-associate-fixed-term,"Tue, 27 Jan 2026 09:12:21 +0000",,,"['education', 'health', 'agriculture', 'climate']",6,2026-01-27 12:36,True
ReliefWeb - Tanzania Updates,aggregator,Nigeria Trees Senior Field Coordinator (Fixed-Term),"<div class=""tag country"">Country: Nigeria</div>
                                      <div class=""tag source"">Organization: One Acre Fund</div>
                                                                                        <div class=""date closing"">Closing date: 14 Apr 2026</div>
                                        <h2>About One Acre Fund</h2>
<p>Founded in 2006, One Acre Fund equips 5.5 million smallholder farmers to make their farms more productive. Across nine countries that toge",https://reliefweb.int/job/4195949/nigeria-trees-senior-field-coordinator-fixed-term,"Tue, 27 Jan 2026 09:26:07 +0000",,,"['education', 'health', 'agriculture']",4,2026-01-27 12:36,True
ReliefWeb - Tanzania Updates,aggregator,Burundi Business Investigator and Farmer Protection Specialist,"<div class=""tag country"">Country: Burundi</div>
                                      <div class=""tag source"">Organization: One Acre Fund</div>
                                                                      <div class=""date closing"">Closing date: 15 Apr 2026</div>
                                        <h2><strong>About One Acre Fund</strong></h2>
<p>Founded in 2006, One Acre Fund equips 5.5 million smallholder farmers to make their farms more productive. Across nine countries that toget",https://reliefweb.int/job/4195945/burundi-business-investigator-and-farmer-protection-specialist,"Tue, 27 Jan 2026 09:16:58 +0000",,,"['education', 'health', 'agriculture']",4,2026-01-27 12:36,True
