source,source_type,title,description,url,published,deadline,amount,sectors,relevance_score,discovered,is_new
African Development Bank,multilateral,African Development Fund Approves $22.9 Million Grant to Revitalize Malawi&#039;s Critical Hydropower Infrastructure,"<img src=""https://www.afdb.org/en/img src="" />
	The African Development Fund’s (ADF) Board of Directors has approved a grant of $22.9 million for the rehabilitation of Malawi’s Kapichira and Nkula B hydropower plants, marking a transformative investment in the nation's energy future.


	The $118.7 million initiative, with co-financing opportunities, will rehabilitate two critical power generation facilities—Kapichira I (64 MW), located in Chikwawa District and serving the southern region, and Nk",https://www.afdb.org/en/news-and-events/press-releases/african-development-fund-approves-229-million-grant-revitalize-malawis-critical-hydropower-infrastructure-89499,"Tue, 09 Dec 2025 00:00:00 +0000",,$22,"['education', 'health', 'agriculture', 'climate']",10,2026-01-26 10:28,True
African Development Bank,multilateral,African Development Fund approves investment to help Somali communities build climate-resilient livelihoods,"<img src=""https://www.afdb.org/en/img src="" />
	The Board of Directors of the African Development Fund (ADF) has approved, on 02 December 2025, a $9.63 million grant to strengthen climate resilience, food security and incomes of rural communities in the Hirshabelle and Puntland regions of Somalia.


	Under the Activating Climate-Resilient Agricultural Livelihoods in Somalia project, the financing will support investments in improved water access, climate-smart agriculture, and more robust disast",https://www.afdb.org/en/news-and-events/press-releases/african-development-fund-approves-investment-help-somali-communities-build-climate-resilient-livelihoods-89519,"Wed, 10 Dec 2025 00:00:00 +0000",,$9,"['education', 'health', 'water', 'agriculture', 'food_security', 'governance', 'climate']",9,2026-01-26 10:28,True
African Development Bank,multilateral,The African Development Fund approves a $9 million grant to boost climate resilience in Tanzania’s Mkondoa catchment,"<img src=""https://www.afdb.org/en/img src="" />
	The Board of Directors of the African Development Fund (ADF) has approved a $9.38 million grant to Tanzania to enhance climate resilience in the Mkondoa Catchment, a vital water resource area affected by floods and drought linked to climate change.


	Approved on 12 December 2025, the Enhancing Climate Resilience on Water Resources in Mkondoa Catchment project will be financed through the ADF’s Climate Action Window. It aims to protect communities ",https://www.afdb.org/en/news-and-events/press-releases/african-development-fund-approves-9-million-grant-boost-climate-resilience-tanzanias-mkondoa-catchment-89724,"Tue, 16 Dec 2025 00:00:00 +0000",,$9 million,"['health', 'water', 'agriculture', 'food_security', 'climate']",8,2026-01-26 10:28,True
African Development Bank,multilateral,"African Development Bank Group-funded fisheries programme  impacts two million people, drives economic transformation in 16 SADC countries","<img src=""https://www.afdb.org/en/img src="" />
	A regional initiative that has overhauled aquatic resource management and boosted cross-border fish trade is now improving the lives of nearly three million people across Southern Africa —raising fish production, consumption, and incomes.


	The Program for Improving Fisheries Governance and Blue Economy Trade Corridors (PROFISHBLUE) has generated cross-border trade volumes exceeding 500,000 tonnes over the past four years, creating employment, str",https://www.afdb.org/en/news-and-events/press-releases/african-development-bank-group-funded-fisheries-programme-impacts-two-million-people-drives-economic-transformation-16-sadc-countries-89309,"Thu, 04 Dec 2025 00:00:00 +0000",,$9,"['education', 'health', 'agriculture', 'food_security', 'governance', 'climate']",8,2026-01-26 10:28,True
ReliefWeb - Tanzania Updates,aggregator,Mechanical Engineer (Specialized in Agricultural Machinery and Equipment),"<div class=""tag country"">Country: Syrian Arab Republic</div>
                                      <div class=""tag source"">Organization: Bonyan Organization</div>
                                                                                        <div class=""date closing"">Closing date: 31 Jan 2026</div>
                                        <h2>General Information</h2>
<ul><li><strong>Department:</strong> ERL/FSL Program</li>
<li><strong>Job Title:</strong> Mechanical Engineer (Specialized",https://reliefweb.int/job/4195347/mechanical-engineer-specialized-agricultural-machinery-and-equipment,"Sun, 25 Jan 2026 21:27:43 +0000",,,"['education', 'health', 'water', 'agriculture', 'governance', 'climate']",7,2026-01-26 10:24,True
African Development Bank,multilateral,"ADF-17 Replenishment: In historic move, African countries race to contribute to continent’s development","<img src=""https://www.afdb.org/en/img src="" />
	The final pledging meeting for the next  three-year financing cycle of the African Development Fund (ADF) kicked off in London on Monday with an unprecedented increase in commitments from African countries.


	The President of the African Development Bank Group, Sidi Ould Tah, welcomed the “unanimous interest among African countries to pledge to ADF-17 Replenishment”, describing the surge in commitments – a more than tripling of the number and size",https://www.afdb.org/en/news-and-events/press-releases/adf-17-replenishment-historic-move-african-countries-race-contribute-continents-development-89684,"Mon, 15 Dec 2025 00:00:00 +0000",,$45 b,"['education', 'health', 'water', 'agriculture', 'climate']",7,2026-01-26 10:28,True
